Unnamed: 0,image_name,embedding
180183,101519.png,"[ 0.14487244 -0.37410203  0.5240811  -0.26530635  0.22234257 -0.09511703
  0.28519163 -0.30845344  0.15391721 -0.4030036   0.35354954 -0.2474787
  0.29411298  0.5733901  -0.4101245   0.5025903  -0.36479962 -0.5263615
  0.14694203  0.20523626 -0.01354384  0.44316632  0.05510105  0.43473497
  0.49318093  0.26893103  0.46979526  0.4356238   0.25699875  0.27709907
 -0.46428233  0.48117813]"
40181,123846.png,"[ 0.01288058 -0.28083277  0.27256203 -0.03245624  0.06888217 -0.165949
  0.16684712 -0.13085635  0.28010356 -0.13301091  0.2007824  -0.3454594
  0.12921794  0.32027134 -0.11740217  0.11247632 -0.03714706  0.00667402
 -0.06118438  0.23689035  0.14730132  0.5108109  -0.37703258  0.2938833
  0.2857567   0.1052928  -0.02915073  0.00888551  0.1188277   0.11130662
 -0.4171669   0.10869419]"
189131,150069.png,"[ 0.39946127 -0.35719275  0.41921312 -0.51074195  0.4898935  -0.20538083
  0.3598715  -0.22251225  0.12787561 -0.43979415  0.16587953 -0.28683433
  0.44005862  0.3493683  -0.45332786  0.35593104 -0.24466771 -0.29836136
  0.33201757  0.18320349  0.23715606  0.51718676 -0.33737972  0.2650151
  0.33686218  0.32618096  0.20617236  0.1634367   0.3060048   0.37269485
 -0.38492784  0.38429227]"
194667,179943.png,"[ 0.00818001 -0.19996299  0.01206137 -0.08963268  0.3145092   0.18123424
  0.05212831  0.13216199  0.17558317  0.16553664  0.03626623  0.09284192
  0.27890074  0.0834436   0.10479593 -0.10855438 -0.01629277 -0.02660025
  0.03997245  0.15235344  0.17223215  0.02549178  0.21256235  0.17850354
  0.08351338 -0.06704872  0.13989241 -0.21738674  0.11259641  0.10692613
  0.02725598  0.19129737]"
187852,143451.png,"[ 0.28511786 -0.5380497   0.3326662  -0.19980045  0.09610543 -0.26672578
  0.41862792 -0.16625153  0.4053516  -0.1597737   0.31281412 -0.28343493
  0.22757043  0.49222285 -0.32539004  0.43266863 -0.42186338 -0.42034072
  0.3660443   0.30684224  0.05089627  0.42022786  0.09913663  0.31241086
  0.38869348  0.44944465  0.11003496  0.3064442   0.35908502  0.5080656
 -0.38821018  0.24162121]"
56472,145855.png,"[ 0.15245643  0.00990827  0.12211694 -0.20518936  0.06927532 -0.00118444
  0.04936085 -0.05731541 -0.12180017 -0.0816854   0.01196795  0.03003005
 -0.00999087  0.33347082  0.21503167  0.06110116 -0.15973349 -0.0370973
  0.01801829  0.07490064  0.00706609  0.21816096  0.00076948 -0.10762049
 -0.00694038  0.04890739 -0.04620855 -0.18715486  0.13083881  0.03910784
  0.04704066  0.01547213]"
151410,75190.png,"[-0.16236816 -0.18139838 -0.04452018 -0.1929774   0.04483377  0.06631137
  0.09853815  0.12314355  0.21274658 -0.00250558 -0.02381352  0.14247799
 -0.07531375  0.08586147  0.07193843  0.12189181 -0.06916554 -0.09140328
 -0.02476096  0.13012972 -0.05220393  0.09096957  0.04295508 -0.16557358
  0.13325012  0.07236487  0.21034646  0.19404964 -0.03226615  0.17193706
 -0.22249654 -0.2182169 ]"
48097,134448.png,"[-0.25231007 -0.12474506  0.07431416 -0.1491389   0.18210226  0.17204165
  0.29476634  0.0606581   0.04532608 -0.17477341 -0.07045254 -0.02085394
  0.1004494   0.20621732  0.10665012 -0.03437204 -0.01430366 -0.21496293
  0.09912963 -0.02400377 -0.1282327   0.04072724  0.19117476  0.13066398
  0.12056259  0.13012029 -0.08629696  0.09613694  0.00344295  0.22486693
 -0.08798596  0.01748678]"
45581,13110.png,"[ 0.15097576 -0.43475756  0.1861155  -0.25856167  0.29558444 -0.06518392
  0.3170504  -0.14304474  0.25512084 -0.10733581  0.40337074 -0.4458707
  0.06914798  0.20119314 -0.21435861  0.2902919  -0.39504647 -0.17511429
  0.23544651  0.19144675  0.19881162  0.26303092 -0.13840286  0.17160463
  0.15030955  0.49554682  0.05134579  0.24301055  0.19056512  0.21024254
 -0.5256828   0.1719875 ]"
207864,53215.png,"[-0.02393906 -0.1703573   0.3252593  -0.05390206  0.20964754 -0.04649988
  0.09731519 -0.20626323  0.16050237 -0.1833808   0.14275159 -0.12622023
  0.22239746  0.42427588 -0.08929571  0.22101788 -0.3145469  -0.29516447
  0.08122867  0.1350877   0.08457477  0.4025953  -0.4120659  -0.00190158
  0.12240043  0.3888232   0.16716248 -0.04539961  0.1388149   0.22886321
 -0.43130875 -0.02246185]"
22349,96650.png,"[ 0.30764458 -0.3403991   0.13088083 -0.13461347  0.00918682  0.00154483
 -0.05555113 -0.13296284  0.06774561 -0.18335512  0.1816904  -0.07703958
  0.2020993   0.48323792 -0.0573874   0.1240246  -0.29614708  0.09634347
 -0.07509225  0.15076247  0.06226846  0.3886874  -0.06891853  0.06916671
  0.19509928  0.27156395  0.01131882  0.05880171  0.08073439  0.37510043
 -0.23326318  0.27265766]"
38670,121804.png,"[ 0.19963765 -0.232998    0.34612188 -0.4970715   0.12186833  0.09876481
 -0.11121764 -0.1952899   0.05170252 -0.552546    0.06805357 -0.14242643
  0.38503364  0.39625967 -0.20347868  0.3448604  -0.20671421 -0.23620939
  0.0800279   0.05309749 -0.01569019  0.35439813 -0.06597406  0.32872486
  0.35791194  0.2576467   0.1925552   0.12208802  0.40008396  0.3678563
 -0.3949803   0.29333982]"
83810,18273.png,"[ 0.12047666 -0.2544509   0.07335898 -0.21679474  0.09618804 -0.11666297
  0.09198529 -0.0820842  -0.01163576  0.08435896  0.28455895 -0.21044695
  0.11315088  0.39008766 -0.00638607  0.32766086  0.01413961  0.06450841
  0.18434875  0.02281233  0.24156696  0.26328304 -0.1942033   0.03185634
  0.17283247  0.29252312 -0.09052918  0.12218639 -0.01835701  0.28699002
 -0.20951155  0.03487564]"
150275,7366.png,"[-0.34174708 -0.07389343 -0.07033188 -0.04777309 -0.16749132  0.17778254
 -0.22934087  0.27768943 -0.21662302  0.08251692 -0.15252738  0.26909935
 -0.16111447 -0.00934676  0.3219564  -0.07319026  0.09380456  0.19198726
 -0.28405023 -0.18801135 -0.31115657 -0.0297235   0.38728288 -0.22836979
 -0.12375987 -0.26147297 -0.13610126 -0.06480232 -0.15640666 -0.3079854
  0.3499298  -0.24304067]"
141357,61500.png,"[ 0.28075582 -0.25264746  0.29312763 -0.3092693   0.23652111 -0.20861924
  0.12164861 -0.38402957  0.36460388 -0.36907607  0.19112377 -0.199772
  0.16434322  0.30374566 -0.20163949  0.2396166  -0.40925553 -0.2861085
  0.13991277  0.24955034  0.0180964   0.46481025 -0.16227822  0.26958284
  0.34684518  0.35456982  0.17416456  0.14079182  0.07891826  0.39776692
 -0.19357254 -0.03680004]"
68954,162771.png,"[ 0.21316706 -0.23911984  0.16949977 -0.00176117  0.33399385  0.04387418
  0.1622427   0.07253294  0.1889401  -0.23700805  0.13679434 -0.03269557
  0.09545444  0.10801207  0.07776092  0.08330423 -0.21056314  0.05214149
  0.18218018  0.18366632  0.07751062  0.2041305   0.13284393  0.03931819
  0.10927276  0.2817766  -0.02716385  0.0782485   0.2042636   0.14750996
 -0.12252837 -0.10202701]"
2571,121013.png,"[-0.03039077 -0.17968987  0.23404685 -0.04006648 -0.05379758  0.04126492
  0.09779777 -0.03840605  0.25417656 -0.08651619  0.30808032 -0.24464512
 -0.05648367  0.21030197 -0.06066873  0.09711692 -0.26068118 -0.36222053
  0.03158027  0.11444373  0.10901766  0.16394132  0.02578495  0.12035148
  0.1662154   0.13475232  0.06590033  0.24002682  0.43130648  0.2476877
 -0.1675881   0.07944976]"
156824,82643.png,"[-0.40919062  0.10738889 -0.32890987  0.11199696 -0.29622394  0.3512472
 -0.3709784   0.19068499 -0.23669831  0.4190968  -0.34302145  0.12287928
 -0.2868296  -0.38669908  0.3450383  -0.13914761  0.17077969  0.42564118
 -0.2298285  -0.41760266 -0.35664743 -0.28622445  0.3430213  -0.22536881
 -0.26531255 -0.4318569  -0.25202152 -0.21299605 -0.36222017 -0.3437018
  0.53996927 -0.34249252]"
207848,53142.png,"[-0.1751734  -0.08243379 -0.04825441 -0.24076648  0.10269225  0.03703807
 -0.0213306   0.05239443  0.07823123  0.04900374 -0.034911   -0.08502627
  0.2334932   0.2701003  -0.13504983  0.28562787 -0.15877028  0.02444271
  0.0746418   0.06171193  0.04912276  0.10040684 -0.00653808 -0.00367095
 -0.01318118  0.03105471 -0.00934873 -0.08677036 -0.01045002  0.15195276
 -0.15433376  0.05642002]"
199620,206897.png,"[-0.47330752  0.09771606 -0.17577231  0.2077618  -0.24231534  0.3765357
 -0.15392858  0.22768295 -0.18163444  0.23194249 -0.23243786  0.3067299
 -0.08825929 -0.19320141  0.34853634 -0.21930647  0.20086072  0.29768306
 -0.34398785 -0.27194154 -0.4361143  -0.19884108  0.40039685 -0.12657523
 -0.2950143  -0.25785333 -0.15348542 -0.2869297  -0.20853147 -0.139569
  0.39972135 -0.5035466 ]"
217233,148319.png,"[-0.24644151  0.49285746 -0.43391848  0.26977926 -0.22165622  0.47468615
 -0.3455608   0.6178613  -0.22056553  0.51093864 -0.27874297 -0.01254029
 -0.21506128 -0.28174183  0.5497543  -0.19673316  0.2716826   0.43188483
 -0.17962518 -0.41715786 -0.34959733 -0.324521    0.34963235 -0.3697622
 -0.22711743 -0.31796184 -0.40904447 -0.3408619  -0.27262062 -0.29592693
  0.43428132 -0.15477136]"
161249,88679.png,"[-0.03039077 -0.17968987  0.23404685 -0.04006648 -0.05379758  0.04126492
  0.09779777 -0.03840605  0.25417656 -0.08651619  0.30808032 -0.24464512
 -0.05648367  0.21030197 -0.06066873  0.09711692 -0.26068118 -0.36222053
  0.03158027  0.11444373  0.10901766  0.16394132  0.02578495  0.12035148
  0.1662154   0.13475232  0.06590033  0.24002682  0.43130648  0.2476877
 -0.1675881   0.07944976]"
